universe,screen_rule,controller,splits,ann_return,ann_vol,sharpe,max_dd,turnover
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,22,0.2335169270483325,0.21807710075655384,1.3681643705056536,-0.08942649839817413,9.076046491865903
liquid_us_equity_250,low_volatility_63_top10,EW,22,0.14906236168874562,0.15475530353110334,1.3707537637966978,-0.07029220943741889,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,22,0.15348791189571115,0.16539015685792002,1.2989636934973472,-0.07529239387452173,39.32727272723341
liquid_us_equity_250,low_volatility_63_top10,MRH_tau63_k5,22,0.11222761062244407,0.16632659445924772,0.9540962009107697,-0.08008097869099337,22.509090909068416
liquid_us_equity_250,low_volatility_63_top10,MRH_tau126_k5,22,0.10419892660479363,0.16567801684963596,0.8749268281192731,-0.08029445842454819,17.181818181801006
liquid_us_equity_250,low_volatility_63_top10,CMVT_lam0.5_gam0.25,22,0.05762819435722308,0.23246433669321862,0.46594991303195354,-0.11599788960712142,16.147836935075137
liquid_us_equity_250,low_volatility_63_top10,CMVT_lam1.0_gam0.5,22,0.13897721870078758,0.20506290092587776,1.061217067217669,-0.0930130707833817,4.815337462964693
liquid_us_equity_250,low_volatility_63_top10,CMVT_lam2.0_gam1.0,22,0.14460038995673463,0.1567310098999358,1.299712565485239,-0.07122064692769836,0.10869005810574212
liquid_us_equity_250,low_volatility_63_top10,HRB_lb126_ct0.5,22,0.1085819920002214,0.15521594424700963,1.0855822835182167,-0.07227902344776536,10.054309589935956
liquid_us_equity_250,low_volatility_63_top10,HRB_lb63_ct0.3,22,0.13430494194390735,0.15535649347332436,1.2571087421470586,-0.07179987468347764,7.437621199646315
liquid_us_equity_250,vol_adjusted_momentum_63_top10,EW,22,0.2255618026430587,0.20499379809560161,1.4458503210457823,-0.08310230311755848,1.0000333894311098e-12
liquid_us_equity_250,vol_adjusted_momentum_63_top10,MRH_tau21_k5,22,0.18812557603010402,0.2250613476420633,1.065181477527423,-0.09750829729912396,39.29090909086982
liquid_us_equity_250,vol_adjusted_momentum_63_top10,MRH_tau63_k5,22,0.10147298166272699,0.21960427322072107,0.7405055086603674,-0.09730187071107918,22.636363636341006
liquid_us_equity_250,vol_adjusted_momentum_63_top10,MRH_tau126_k5,22,0.12238820781993845,0.22432591874181468,0.8550989821150307,-0.0972694711716838,16.81818181816501
liquid_us_equity_250,vol_adjusted_momentum_63_top10,CMVT_lam0.5_gam0.25,22,0.19356628364388373,0.3256161621523576,0.7165576994385736,-0.1444894793216455,25.150220190489062
