universe,screen_rule,controller,split_id,cost_bps,n_assets,ann_return,ann_vol,sharpe,max_dd,turnover
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,19,10.0,10,0.6914012177962574,0.22995096430375278,3.006733282840019,-0.05588338954452865,27.108817502242303
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,20,10.0,10,-0.4485795715993701,0.3553069665036176,-1.2625127393710711,-0.1552289184700374,21.287012622518848
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,21,10.0,10,0.5847166961105241,0.3249960531331959,1.7991501449683316,-0.08484635907386007,27.136796086032362
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,0,10.0,10,0.3128636877903297,0.10664729886728179,2.933629741309643,-0.024538399126082133,0.0002833674275504322
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,1,10.0,10,-0.11063988758919674,0.21557885939837396,-0.5132223442384446,-0.08802696187620584,2.286419576177974
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,2,10.0,10,0.47161450061789933,0.10723882392431805,4.397796277086509,-0.025929022492492848,0.20288886267259953
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,3,10.0,10,-0.6279081611002626,0.6009596018216857,-1.0448425471460028,-0.33025293621994045,0.2003197599216755
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,4,10.0,10,1.183200199363342,0.39545174864006116,2.9920216649169378,-0.10047052802765954,2.1434063388567313
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,5,10.0,10,0.16914931238410347,0.17236333963772754,0.9813531853040173,-0.07834293161456463,0.20253614990952212
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,6,10.0,10,0.35140515751260715,0.2730435950478426,1.286992860791139,-0.10907093945796698,3.171472461580265
