universe,controller,split_id,cost_bps,train_end,validation_end,evaluation_start,evaluation_end,ann_return,ann_vol,sharpe,max_dd,calmar
liquid_us_equity_100,MRH_tau21_k5,5,0.0,2020-04-02,2020-07-02,2020-07-06,2020-10-01,0.27107549205590376,0.2486966751675323,1.0899843830730997,-0.0852445409101783,3.179974801416955
liquid_us_equity_100,MRH_tau21_k5,5,10.0,2020-04-02,2020-07-02,2020-07-06,2020-10-01,0.25011733299122296,0.2482062882380821,1.0076994211778392,-0.08670814964472073,2.884588519224235
liquid_us_equity_100,MRH_tau21_k5,6,0.0,2020-07-02,2020-10-01,2020-10-02,2020-12-31,0.6242508001758824,0.21939194998791384,2.8453678460282004,-0.08754354314677326,7.130746343247139
liquid_us_equity_100,MRH_tau21_k5,6,10.0,2020-07-02,2020-10-01,2020-10-02,2020-12-31,0.606276472587449,0.21788254996477804,2.782583886055466,-0.08754354314677282,6.925427630499933
liquid_us_equity_100,MRH_tau21_k5,7,0.0,2020-10-01,2020-12-31,2021-01-04,2021-04-05,0.3604962675714458,0.25222935171455707,1.429239956093544,-0.10337524212419968,3.4872592330651284
liquid_us_equity_100,MRH_tau21_k5,7,10.0,2020-10-01,2020-12-31,2021-01-04,2021-04-05,0.3399755414338026,0.2535116817060164,1.3410645976729094,-0.10624228944998027,3.200002025470901
liquid_us_equity_100,MRH_tau21_k5,8,0.0,2020-12-31,2021-04-05,2021-04-06,2021-07-02,-0.37150940510805874,0.19734101605823492,-1.8825757185548517,-0.12476741234010325,-2.977615694171683
liquid_us_equity_100,MRH_tau21_k5,8,10.0,2020-12-31,2021-04-05,2021-04-06,2021-07-02,-0.3955979555244884,0.19681463673550018,-2.010002721769742,-0.12835390537859293,-3.082087407894211
liquid_us_equity_100,MRH_tau21_k5,9,0.0,2021-04-05,2021-07-02,2021-07-06,2021-10-01,-0.42235906738977036,0.1605375221120306,-2.630905609047569,-0.15403609586158673,-2.7419486648541813
liquid_us_equity_100,MRH_tau21_k5,9,10.0,2021-04-05,2021-07-02,2021-07-06,2021-10-01,-0.44312886582399136,0.16061233819788817,-2.7589964182904776,-0.1570788588319889,-2.821059874741894
liquid_us_equity_100,MRH_tau21_k5,10,0.0,2021-07-02,2021-10-01,2021-10-04,2021-12-31,0.09888888767942738,0.27662064682602666,0.3574891780990719,-0.07980705408133215,1.2390995860768101
liquid_us_equity_100,MRH_tau21_k5,10,10.0,2021-07-02,2021-10-01,2021-10-04,2021-12-31,0.08131376018285241,0.2767638340048266,0.2938019719048282,-0.08091128561643401,1.0049742698110296
liquid_us_equity_100,MRH_tau21_k5,11,0.0,2021-10-01,2021-12-31,2022-01-03,2022-04-01,0.24286719664966272,0.15785686799561507,1.538527906526503,-0.06368592497890524,3.813514473194734
liquid_us_equity_100,MRH_tau21_k5,11,10.0,2021-10-01,2021-12-31,2022-01-03,2022-04-01,0.2237288198755687,0.15846988442548673,1.4118065440967442,-0.06368592497890568,3.5130025974524206
liquid_us_equity_100,MRH_tau21_k5,12,0.0,2021-12-31,2022-04-01,2022-04-04,2022-07-05,-1.166127771635204,0.3071561107403141,-3.796531245368298,-0.25966069371656164,-4.49096763526183
liquid_us_equity_100,MRH_tau21_k5,12,10.0,2021-12-31,2022-04-01,2022-04-04,2022-07-05,-1.1866296880260885,0.3078652883397439,-3.85437960356457,-0.26350382845958487,-4.50327304524756
liquid_us_equity_100,MRH_tau21_k5,13,0.0,2022-04-01,2022-07-05,2022-07-06,2022-10-03,-0.6492133201863401,0.262043317030895,-2.477503824710478,-0.19770951920709234,-3.2836725453923794
liquid_us_equity_100,MRH_tau21_k5,13,10.0,2022-04-01,2022-07-05,2022-07-06,2022-10-03,-0.6699144599079814,0.26228354816714883,-2.554161191530405,-0.20059519760840527,-3.3396335898949316
liquid_us_equity_100,MRH_tau21_k5,14,0.0,2022-07-05,2022-10-03,2022-10-04,2023-01-03,0.6002357849591315,0.2445097037912964,2.4548546566847658,-0.07306621345014219,8.214956771511039
liquid_us_equity_100,MRH_tau21_k5,14,10.0,2022-07-05,2022-10-03,2022-10-04,2023-01-03,0.5825734809902436,0.24446899413091397,2.3830158219405546,-0.07306621345014197,7.973226659402567
liquid_us_equity_100,MRH_tau21_k5,15,0.0,2022-10-03,2023-01-03,2023-01-04,2023-04-04,0.14816881688468841,0.2085791844819476,0.7103720213116567,-0.10139438110427035,1.4613119116616096
liquid_us_equity_100,MRH_tau21_k5,15,10.0,2022-10-03,2023-01-03,2023-01-04,2023-04-04,0.12756059886867455,0.20963746057671348,0.6084818930602687,-0.10498520915737408,1.2150340023254576
liquid_us_equity_100,MRH_tau21_k5,16,0.0,2023-01-03,2023-04-04,2023-04-05,2023-07-06,0.03747871921828061,0.20049352119829372,0.18693232077572308,-0.055327928198302345,0.6773924207549343
liquid_us_equity_100,MRH_tau21_k5,16,10.0,2023-01-03,2023-04-04,2023-04-05,2023-07-06,0.018400579916895143,0.2011846972020808,0.09146113085490366,-0.055327928198302456,0.3325730876929371
liquid_us_equity_100,MRH_tau21_k5,17,0.0,2023-04-04,2023-07-06,2023-07-07,2023-10-04,-0.1100581345546976,0.1533188740622703,-0.7178381345879161,-0.1295866645281074,-0.8493013918880259
liquid_us_equity_100,MRH_tau21_k5,17,10.0,2023-04-04,2023-07-06,2023-07-07,2023-10-04,-0.129249131010575,0.1534054824187105,-0.8425326720524576,-0.13271736721312954,-0.9738675029775206
liquid_us_equity_100,MRH_tau21_k5,18,0.0,2023-07-06,2023-10-04,2023-10-05,2024-01-04,0.6292088401991927,0.16175861089182142,3.8898012088895597,-0.08439843371271938,7.455219398187856
liquid_us_equity_100,MRH_tau21_k5,18,10.0,2023-07-06,2023-10-04,2023-10-05,2024-01-04,0.6067472677446655,0.16184448303709195,3.7489524286216205,-0.08439843371272004,7.189082084186012
liquid_us_equity_100,MRH_tau21_k5,19,0.0,2023-10-04,2024-01-04,2024-01-05,2024-04-05,0.8415715339973717,0.25485014080652724,3.3022211850883747,-0.06316393736463344,13.323607886028622
liquid_us_equity_100,MRH_tau21_k5,19,10.0,2023-10-04,2024-01-04,2024-01-05,2024-04-05,0.8286842290364951,0.25468420958391735,3.2537715250862207,-0.06391340621474129,12.965734078375526
liquid_us_equity_100,MRH_tau21_k5,20,0.0,2024-01-04,2024-04-05,2024-04-08,2024-07-08,0.30626901064698187,0.1486959462613157,2.0596997991235773,-0.04518628357444299,6.77791989986597
liquid_us_equity_100,MRH_tau21_k5,20,10.0,2024-01-04,2024-04-05,2024-04-08,2024-07-08,0.2854742523984801,0.1490208667640719,1.9156662995963107,-0.04631291552574468,6.164031116409095
liquid_us_equity_100,MRH_tau21_k5,21,0.0,2024-04-05,2024-07-08,2024-07-09,2024-10-04,-0.41653104716516864,0.24926227781177177,-1.6710552869056159,-0.18131601220813187,-2.2972656528797755
liquid_us_equity_100,MRH_tau21_k5,21,10.0,2024-04-05,2024-07-08,2024-07-09,2024-10-04,-0.43584748195092615,0.24871523676154272,-1.7523955814860077,-0.18295338018371388,-2.3822871242438084
liquid_us_equity_100,MRH_tau63_k5,0,0.0,2019-01-02,2019-04-03,2019-04-04,2019-07-03,-0.03385656868228093,0.17901753111634264,-0.1891243191153641,-0.10803084289352005,-0.3133972463339757
liquid_us_equity_100,MRH_tau63_k5,0,10.0,2019-01-02,2019-04-03,2019-04-04,2019-07-03,-0.0499177401423232,0.17871538814560264,-0.2793141690819315,-0.10945799354488872,-0.4560447211321838
liquid_us_equity_100,MRH_tau63_k5,1,0.0,2019-04-03,2019-07-03,2019-07-05,2019-10-02,-0.18706659192837138,0.23232492549699096,-0.8051938100373524,-0.10184552216927323,-1.8367679593769373
liquid_us_equity_100,MRH_tau63_k5,1,10.0,2019-04-03,2019-07-03,2019-07-05,2019-10-02,-0.20153050947434847,0.23203186646369917,-0.86854668949107,-0.10315584724692162,-1.9536508579101306
liquid_us_equity_100,MRH_tau63_k5,2,0.0,2019-07-03,2019-10-02,2019-10-03,2020-01-02,0.9483614940483913,0.15084093321626016,6.287162733755043,-0.03841613136424138,24.68654339584182
liquid_us_equity_100,MRH_tau63_k5,2,10.0,2019-07-03,2019-10-02,2019-10-03,2020-01-02,0.9402396505280279,0.15023079079823382,6.258634768051977,-0.0384161313642406,24.475125868055745
liquid_us_equity_100,MRH_tau63_k5,3,0.0,2019-10-02,2020-01-02,2020-01-03,2020-04-02,-0.26914260694206105,0.5981953263954848,-0.44992428905015036,-0.2587110242179472,-1.0403213691979574
liquid_us_equity_100,MRH_tau63_k5,3,10.0,2019-10-02,2020-01-02,2020-01-03,2020-04-02,-0.27700964947796614,0.5983926036981064,-0.46292291676996844,-0.25930405539857204,-1.0682812077547759
liquid_us_equity_100,MRH_tau63_k5,4,0.0,2020-01-02,2020-04-02,2020-04-03,2020-07-02,0.5670308009076925,0.3299015399373144,1.7187879784184004,-0.07849962732580373,7.223356596930997
liquid_us_equity_100,MRH_tau63_k5,4,10.0,2020-01-02,2020-04-02,2020-04-03,2020-07-02,0.5527838135142562,0.33048308100950924,1.6726538975127683,-0.08034262807115,6.880330240353108
liquid_us_equity_100,MRH_tau63_k5,5,0.0,2020-04-02,2020-07-02,2020-07-06,2020-10-01,0.377664894814433,0.2745744332278065,1.3754554288735248,-0.12926764324212048,2.9215732981542697
liquid_us_equity_100,MRH_tau63_k5,5,10.0,2020-04-02,2020-07-02,2020-07-06,2020-10-01,0.3663542601347025,0.27424032709543733,1.3358876282475884,-0.12961593618482314,2.826460008817749
liquid_us_equity_100,MRH_tau63_k5,6,0.0,2020-07-02,2020-10-01,2020-10-02,2020-12-31,0.3556160607861871,0.226581916271183,1.569481212962296,-0.08737857264314752,4.069831424626798
liquid_us_equity_100,MRH_tau63_k5,6,10.0,2020-07-02,2020-10-01,2020-10-02,2020-12-31,0.3408974349575442,0.2252463551142152,1.5134426250012907,-0.08737857264314786,3.9013847976878764
liquid_us_equity_100,MRH_tau63_k5,7,0.0,2020-10-01,2020-12-31,2021-01-04,2021-04-05,1.0991201320275166,0.27482199552571573,3.9993892407373557,-0.09680301520059287,11.35419314923809
liquid_us_equity_100,MRH_tau63_k5,7,10.0,2020-10-01,2020-12-31,2021-01-04,2021-04-05,1.0912599828155178,0.2754632218661958,3.9615451217717466,-0.09752557278843155,11.189475248421953
liquid_us_equity_100,MRH_tau63_k5,8,0.0,2020-12-31,2021-04-05,2021-04-06,2021-07-02,0.005027797976416171,0.1833036814921336,0.027428788857164918,-0.09408142259770347,0.05344092210278141
liquid_us_equity_100,MRH_tau63_k5,8,10.0,2020-12-31,2021-04-05,2021-04-06,2021-07-02,-0.007905109792037734,0.18259970612516577,-0.04329201815130942,-0.09408142259770325,-0.08402413115877663
liquid_us_equity_100,MRH_tau63_k5,9,0.0,2021-04-05,2021-07-02,2021-07-06,2021-10-01,-0.05964554411672918,0.1709759695622067,-0.34885337553052626,-0.0854121012896717,-0.6983266213501221
liquid_us_equity_100,MRH_tau63_k5,9,10.0,2021-04-05,2021-07-02,2021-07-06,2021-10-01,-0.07237022963116146,0.17144518170437678,-0.4221187723754608,-0.08614377160863917,-0.840109833582716
liquid_us_equity_100,MRH_tau63_k5,10,0.0,2021-07-02,2021-10-01,2021-10-04,2021-12-31,0.07327884530904605,0.25180436372761195,0.2910149936401581,-0.09779123962173619,0.7493395685722437
liquid_us_equity_100,MRH_tau63_k5,10,10.0,2021-07-02,2021-10-01,2021-10-04,2021-12-31,0.05884582182182996,0.25172455717136744,0.2337706836506043,-0.09815212312588639,0.5995369223522233
liquid_us_equity_100,MRH_tau63_k5,11,0.0,2021-10-01,2021-12-31,2022-01-03,2022-04-01,0.028726216277116468,0.258818555858109,0.11098978657756646,-0.19836999583268378,0.14481129646844845
liquid_us_equity_100,MRH_tau63_k5,11,10.0,2021-10-01,2021-12-31,2022-01-03,2022-04-01,0.017629730296786494,0.2592447324186804,0.06800419870536258,-0.1990112998360164,0.08858657931094693
liquid_us_equity_100,MRH_tau63_k5,12,0.0,2021-12-31,2022-04-01,2022-04-04,2022-07-05,-0.5930910194088361,0.25698583895818744,-2.307874324168603,-0.16911500582519767,-3.507027756119795
liquid_us_equity_100,MRH_tau63_k5,12,10.0,2021-12-31,2022-04-01,2022-04-04,2022-07-05,-0.6010597886428113,0.2570448693997363,-2.338345791705927,-0.1704438900494788,-3.526437870344316
liquid_us_equity_100,MRH_tau63_k5,13,0.0,2022-04-01,2022-07-05,2022-07-06,2022-10-03,-0.7235841862410379,0.21444866201947738,-3.374160414075906,-0.19339873847007039,-3.7414110968943857
liquid_us_equity_100,MRH_tau63_k5,13,10.0,2022-04-01,2022-07-05,2022-07-06,2022-10-03,-0.7331296595824361,0.21459572758727338,-3.4163292429988625,-0.193721378974682,-3.7844540621118874
liquid_us_equity_100,MRH_tau63_k5,14,0.0,2022-07-05,2022-10-03,2022-10-04,2023-01-03,0.2887737304838298,0.20963172371662336,1.3775287698001841,-0.05240084074810292,5.510860634211743
liquid_us_equity_100,MRH_tau63_k5,14,10.0,2022-07-05,2022-10-03,2022-10-04,2023-01-03,0.27596536827875084,0.20969334091716715,1.3160425937724287,-0.053158920075503824,5.191327586820696
liquid_us_equity_100,MRH_tau63_k5,15,0.0,2022-10-03,2023-01-03,2023-01-04,2023-04-04,0.306496250550516,0.23314439365924258,1.3146198617032492,-0.07977800205122376,3.8418642064999244
liquid_us_equity_100,MRH_tau63_k5,15,10.0,2022-10-03,2023-01-03,2023-01-04,2023-04-04,0.29371733182377113,0.23333219090313223,1.2587947281755434,-0.08051417964958185,3.6480199276507004
liquid_us_equity_100,MRH_tau63_k5,16,0.0,2023-01-03,2023-04-04,2023-04-05,2023-07-06,0.4140867892350628,0.20413644793219343,2.028480427809632,-0.04582143899513569,9.036966064509333
liquid_us_equity_100,MRH_tau63_k5,16,10.0,2023-01-03,2023-04-04,2023-04-05,2023-07-06,0.39820968473865603,0.2049090307023541,1.9433486331558631,-0.04582143899513569,8.690466590807825
liquid_us_equity_100,MRH_tau63_k5,17,0.0,2023-04-04,2023-07-06,2023-07-07,2023-10-04,-0.015113818422630043,0.2066839801617331,-0.07312525339762735,-0.07875159686463873,-0.19191761213955238
liquid_us_equity_100,MRH_tau63_k5,17,10.0,2023-04-04,2023-07-06,2023-07-07,2023-10-04,-0.024665974442446892,0.20693369586737015,-0.11919747694516043,-0.0805932092724404,-0.3060552454085681
liquid_us_equity_100,MRH_tau63_k5,18,0.0,2023-07-06,2023-10-04,2023-10-05,2024-01-04,0.46177214858364257,0.1610762121024253,2.866792945733934,-0.08756316560847988,5.273589018504484
liquid_us_equity_100,MRH_tau63_k5,18,10.0,2023-07-06,2023-10-04,2023-10-05,2024-01-04,0.448961061522962,0.16119305980017903,2.7852381614737367,-0.08756316560847999,5.1272822127659055
liquid_us_equity_100,MRH_tau63_k5,19,0.0,2023-10-04,2024-01-04,2024-01-05,2024-04-05,0.344777847961391,0.2113749176831584,1.6311199632331332,-0.0578455292347434,5.960319708655184
liquid_us_equity_100,MRH_tau63_k5,19,10.0,2023-10-04,2024-01-04,2024-01-05,2024-04-05,0.3351598876209536,0.21136341653059895,1.585704343357106,-0.058222391023048936,5.756546265551251
liquid_us_equity_100,MRH_tau63_k5,20,0.0,2024-01-04,2024-04-05,2024-04-08,2024-07-08,0.1700096831589084,0.19985239674229266,0.8506762287033427,-0.09952804734654153,1.708158531084734
liquid_us_equity_100,MRH_tau63_k5,20,10.0,2024-01-04,2024-04-05,2024-04-08,2024-07-08,0.1555593263591568,0.1996966887258048,0.7789779958343218,-0.09952804734654153,1.5629697407401144
liquid_us_equity_100,MRH_tau63_k5,21,0.0,2024-04-05,2024-07-08,2024-07-09,2024-10-04,-0.30696949886524205,0.22015609028996314,-1.3943266273467356,-0.14873485579211887,-2.063870618815928
liquid_us_equity_100,MRH_tau63_k5,21,10.0,2024-04-05,2024-07-08,2024-07-09,2024-10-04,-0.32312612050856604,0.21938261970175268,-1.472888421819277,-0.14873485579211887,-2.1724976219294203
liquid_us_equity_100,MRH_tau126_k5,0,0.0,2019-01-02,2019-04-03,2019-04-04,2019-07-03,0.24091113112049545,0.20038180582497878,1.202260505276184,-0.0801142138400347,3.0070959892150895
liquid_us_equity_100,MRH_tau126_k5,0,10.0,2019-01-02,2019-04-03,2019-04-04,2019-07-03,0.23287217832908125,0.20023284964125992,1.1630068629854462,-0.0808501224689624,2.8802946886765497
liquid_us_equity_100,MRH_tau126_k5,1,0.0,2019-04-03,2019-07-03,2019-07-05,2019-10-02,-0.14211195073822225,0.2357935183406158,-0.6026965954693104,-0.09708465962366264,-1.4637940874247162
liquid_us_equity_100,MRH_tau126_k5,1,10.0,2019-04-03,2019-07-03,2019-07-05,2019-10-02,-0.15179644372064294,0.2354210951756721,-0.6447869236472928,-0.09708465962366308,-1.56354715881479
liquid_us_equity_100,MRH_tau126_k5,2,0.0,2019-07-03,2019-10-02,2019-10-03,2020-01-02,0.9566404219688502,0.13567675848019078,7.050879109125177,-0.024414198667689457,39.183773137543746
liquid_us_equity_100,MRH_tau126_k5,2,10.0,2019-07-03,2019-10-02,2019-10-03,2020-01-02,0.9485588078820499,0.1353171557722529,7.00989318362206,-0.02441419866768979,38.85275207080779
