Date,equity
2023-04-26,1123386.2169877023
2023-04-27,1112247.314221757
2023-04-28,1116890.6282710386
2023-05-01,1133261.667382001
2023-05-02,1138931.4430030377
2023-05-03,1141333.3297220378
2023-05-04,1130548.6655783246
2023-05-05,1126179.3537369613
2023-05-08,1132464.678877942
2023-05-09,1147066.0786324942
2023-05-10,1155854.9582925874
2023-05-11,1167359.1093982838
2023-05-12,1167323.421935181
2023-05-15,1169950.233742037
2023-05-16,1176339.1213934864
2023-05-17,1178668.0074641705
2023-05-18,1180751.9481730512
2023-05-19,1196830.6074720882
2023-05-22,1190272.7447118717
2023-05-23,1194630.074390128
2023-05-24,1192930.5420933007
2023-05-25,1190204.1845989162
2023-05-26,1202243.3764046796
2023-05-30,1203272.7806956645
2023-05-31,1194927.8081809098
2023-06-01,1179040.9199262557
2023-06-02,1163856.691791997
2023-06-05,1145067.1084582761
2023-06-06,1151404.7544799
2023-06-07,1140530.5590024453
2023-06-08,1135409.325592885
2023-06-09,1133454.9496241082
2023-06-12,1129684.5198371527
2023-06-13,1131450.2942541717
2023-06-14,1112826.5273444736
2023-06-15,1110571.4679762563
2023-06-16,1102049.9869208403
2023-06-20,1099080.069490408
2023-06-21,1102126.939570666
2023-06-22,1106607.2285597476
2023-06-23,1117703.708725653
2023-06-26,1098256.965661477
2023-06-27,1111731.8723678337
2023-06-28,1114056.477953942
2023-06-29,1130339.5747117202
2023-06-30,1132210.0544466863
2023-07-03,1129115.127207268
2023-07-05,1132556.5727211307
2023-07-06,1130104.4933110978
2023-07-07,1126550.1585552844
2023-07-10,1124065.737448457
2023-07-11,1128429.2831744757
2023-07-12,1133167.7435183586
2023-07-13,1119986.4544276358
2023-07-14,1124544.2930198885
2023-07-17,1135166.9186420527
2023-07-18,1121918.302408026
2023-07-19,1126268.7594511802
2023-07-20,1124593.349524363
2023-07-21,1116888.9010214838
2023-07-24,1098729.4237638286
2023-07-25,1095762.381311973
2023-07-26,1098991.092151062
2023-07-27,1078097.2310213826
2023-07-28,1076757.8505986533
2023-07-31,1068033.2451310568
2023-08-01,1071156.9803832567
2023-08-02,1056624.5995149852
2023-08-03,1041379.7715496182
2023-08-04,1045723.8896550451
2023-08-07,1037596.0607438957
2023-08-08,1047089.9877584048
2023-08-09,1054798.485963352
2023-08-10,1065135.635508065
2023-08-11,1068901.2997091012
2023-08-14,1057064.1287835045
2023-08-15,1053947.5932565336
2023-08-16,1064778.660300443
2023-08-17,1068301.7971223802
2023-08-18,1066082.4223769554
2023-08-21,1056432.6997873613
2023-08-22,1044342.8597465795
2023-08-23,1042652.0351607036
2023-08-24,1053015.077359781
2023-08-25,1041255.6194107194
2023-08-28,1038257.0345616684
2023-08-29,1025391.1086392251
2023-08-30,1034753.1259349865
2023-08-31,1042869.9049387493
2023-09-01,1054529.2158211584
2023-09-05,1074172.5288968228
2023-09-06,1094567.7954437092
2023-09-07,1086668.5051130296
2023-09-08,1093489.0174161803
2023-09-11,1091556.234225521
2023-09-12,1074735.700298903
2023-09-13,1090638.8277980082
2023-09-14,1081807.8593337052
2023-09-15,1117419.8614660345
2023-09-18,1121588.559459875
2023-09-19,1124547.708630075
2023-09-20,1127941.9036742148
2023-09-21,1137128.7437538465
2023-09-22,1131135.235212312
2023-09-25,1139537.6724892182
2023-09-26,1139749.3751539271
2023-09-27,1140558.4114903398
2023-09-28,1142576.8804000444
2023-09-29,1140343.1317712928
2023-10-02,1144923.8993596928
2023-10-03,1166526.8332573702
2023-10-04,1161137.8435792811
2023-10-05,1157987.5633718485
2023-10-06,1162983.0848197865
2023-10-09,1173863.7072168062
2023-10-10,1176808.0369505903
2023-10-11,1189039.548546459
2023-10-12,1193422.6571573594
2023-10-13,1217014.8974440454
2023-10-16,1211085.1938081796
2023-10-17,1200632.227805159
2023-10-18,1196555.7672727387
2023-10-19,1203735.6594238754
2023-10-20,1179906.7980351746
2023-10-23,1191745.8740367333
2023-10-24,1196668.5656948977
2023-10-25,1196843.4510181167
2023-10-26,1195444.3403007737
2023-10-27,1198497.3301769348
2023-10-30,1195220.3954940953
2023-10-31,1191616.6331296875
2023-11-01,1179616.3047955488
2023-11-02,1177897.109984094
2023-11-03,1180036.5801242052
2023-11-06,1196663.891342142
2023-11-07,1196551.6440399075
2023-11-08,1199711.1537535586
2023-11-09,1189397.836452453
2023-11-10,1194292.0527473027
2023-11-13,1184251.4653414036
2023-11-14,1176306.876575148
2023-11-15,1183379.9564741687
2023-11-16,1192819.5876572304
2023-11-17,1194931.3505759588
2023-11-20,1201206.7806893268
2023-11-21,1188798.6234743882
2023-11-22,1203580.6526734417
2023-11-24,1203334.5362878474
2023-11-27,1214927.1077608448
2023-11-28,1206304.8413152485
2023-11-29,1190733.6903007878
2023-11-30,1209686.1929901384
2023-12-01,1204738.163409144
2023-12-04,1195612.2027043556
2023-12-05,1193313.145565363
2023-12-06,1199748.9718061145
2023-12-07,1199556.1979911523
2023-12-08,1204465.3558827618
2023-12-11,1208800.7999048387
2023-12-12,1188753.6810404686
2023-12-13,1193324.1666445283
2023-12-14,1212518.2829697342
2023-12-15,1198930.1054492267
2023-12-18,1191624.8524762457
2023-12-19,1201264.41259612
2023-12-20,1205850.5652680106
2023-12-21,1210274.8397121448
2023-12-22,1200270.5836551618
2023-12-26,1205204.7824783733
2023-12-27,1203459.9685255059
2023-12-28,1210030.9454608557
2023-12-29,1221967.442037297
2024-01-02,1224345.9112428077
2024-01-03,1209714.7631757301
2024-01-04,1218953.1277414695
2024-01-05,1228723.1933276567
2024-01-08,1224702.3638468462
2024-01-09,1227961.1316114299
2024-01-10,1234864.716486435
2024-01-11,1226661.758503842
2024-01-12,1216605.4491656246
2024-01-16,1188763.4414601577
2024-01-17,1189001.9343155734
2024-01-18,1201595.3433677428
2024-01-19,1203391.2135100244
2024-01-22,1190938.1997438625
2024-01-23,1188084.5854944861
2024-01-24,1186562.7171086802
2024-01-25,1187329.8175974297
2024-01-26,1207068.1354250747
2024-01-29,1219224.8857584943
2024-01-30,1208465.7247996943
2024-01-31,1202425.7564883959
2024-02-01,1196106.6019700854
2024-02-02,1183493.3846952952
2024-02-05,1190096.4076921043
2024-02-06,1191203.2167710739
2024-02-07,1205714.1497148573
2024-02-08,1181487.1121429363
2024-02-09,1190721.805345672
2024-02-12,1164220.4147708954
2024-02-13,1147963.359964443
2024-02-14,1143647.6701158197
2024-02-15,1147145.6507559868
2024-02-16,1150201.7199360752
2024-02-20,1149678.5170389472
2024-02-21,1158565.5315720055
2024-02-22,1170996.8651484784
2024-02-23,1179626.098275483
2024-02-26,1177364.3092194456
2024-02-27,1172920.0663635924
2024-02-28,1181421.3468993653
2024-02-29,1170498.464410476
2024-03-01,1170278.1428833385
2024-03-04,1184091.209953103
2024-03-05,1196537.5615056234
2024-03-06,1202424.0032832886
2024-03-07,1205196.3863740473
2024-03-08,1206070.6275088731
2024-03-11,1202930.8111414786
2024-03-12,1203122.244298388
2024-03-13,1209216.9278303545
2024-03-14,1210126.4575414897
2024-03-15,1226588.8927625848
2024-03-18,1227263.0986532508
2024-03-19,1225616.931399407
2024-03-20,1227030.870507446
2024-03-21,1221373.7961597994
2024-03-22,1230108.2179384264
2024-03-25,1212730.9719972569
2024-03-26,1212562.3198409397
2024-03-27,1211681.1651774244
2024-03-28,1201123.5258522849
2024-04-01,1199817.2270107751
2024-04-02,1210186.9429497465
2024-04-03,1205156.101762991
2024-04-04,1211430.4820357403
2024-04-05,1217545.7815292787
2024-04-08,1219430.7055533146
2024-04-09,1219156.558840687
2024-04-10,1222298.1148256168
2024-04-11,1226478.0198975129
2024-04-12,1223190.8981680993
2024-04-15,1215636.7280175132
2024-04-16,1231995.2075367328
2024-04-17,1234006.7122924344
2024-04-18,1235030.0516532054
2024-04-19,1243870.0257514433
2024-04-22,1241128.7720705236
2024-04-23,1243906.1237011736
2024-04-24,1242837.1963895792
2024-04-25,1242466.0250920008
2024-04-26,1249741.675766621
2024-04-29,1241326.5692905476
2024-04-30,1240120.1653564132
2024-05-01,1247608.403364029
2024-05-02,1247376.5733555302
2024-05-03,1253013.971413434
2024-05-06,1251687.2020149913
2024-05-07,1250459.1228487468
2024-05-08,1259159.496305973
2024-05-09,1262098.4507014682
